ds,yhat,yhat_lower,yhat_upper
2023-01-01,419.8557284383462,-283.26683678126915,1170.082571422708
2023-01-02,476.39973672533074,-265.4748982432603,1218.2116230865793
2023-01-03,426.2344893713814,-300.02618445379085,1176.3772108222795
2023-01-04,417.90508376813114,-324.6086449041071,1111.4192763839199
2023-01-05,432.59370587484,-266.0855467223494,1145.3648133634524
2023-01-06,458.78591282834117,-236.7680653949209,1208.143913245655
2023-01-07,520.6861027375868,-181.9343569881616,1195.9312398538611
2023-01-08,420.0007150196828,-310.14651520606105,1128.2352896698007
2023-01-09,476.5447233066801,-171.16153530757245,1205.6413210031212
2023-01-10,426.37947595297857,-265.27945999179747,1132.8072985083002
2023-01-11,418.05007034929184,-250.50992901294697,1118.1547362619194
2023-01-13,458.9308994098832,-283.7299369696681,1215.9503398953923
2023-01-14,520.8310893188666,-208.18038898428912,1171.6113519886292
2023-01-15,420.1457016545306,-297.95318230161826,1135.3687551664948
2023-01-16,476.68970999510077,-220.49910276190315,1234.1142587556428
2023-01-17,426.5244626946615,-277.5535647804517,1114.6537673944204
2023-01-19,432.88367930522725,-299.6457726016243,1131.4986109992003
2023-01-20,459.07588631221387,-265.1638308837877,1184.8605475566267
2023-01-21,520.9760762747865,-186.55026256449162,1266.601906232239
2023-01-22,420.29068861034517,-311.7339322676695,1182.8125045046077
2023-01-23,476.8346969507916,-228.1532649232445,1138.2792576495715
2023-01-24,426.6694496503223,-266.27023437623905,1103.8523705267291
2023-01-25,418.3400441005633,-336.1942742065514,1153.6663385346098
2023-01-26,433.0286662611458,-252.78550577601817,1134.828387119863
2023-01-27,459.2208732680258,-248.00524296334265,1146.541433435831
2023-01-28,521.1210632155654,-200.85221853371254,1209.2853504079535
2023-01-29,420.4356755360052,-311.6567219985163,1135.298258133916
2023-01-30,476.97968386149006,-237.66659800372614,1193.6380009370898
2023-01-31,426.8144365458727,-344.7757816709329,1188.0899806652467
2023-02-01,418.48503098103737,-307.7744519669927,1152.7787931616097
2023-02-02,433.17365312660087,-280.78355150688856,1101.4932387676083
2023-02-03,459.3658601181322,-308.28677929483524,1153.6584567543132
2023-02-04,521.2660500659443,-198.3882186694841,1211.6458563478068
2023-02-05,420.58066238626196,-267.42345134416195,1071.9917464687835
2023-02-06,477.1246707117597,-225.92214083557067,1190.000080479482
2023-02-07,426.9594234734835,-254.34582086368906,1076.3285967007714
2023-02-08,418.63001798629085,-194.12204926615885,1152.43657831954
2023-02-09,433.31864020917504,-340.98581466925964,1106.3888172147688
2023-02-10,459.51084727818983,-247.13339318531948,1180.0186779783849
2023-02-11,521.4110373031388,-152.4319021316103,1280.3206926129458
2023-02-12,420.7256497010405,-312.2740577381386,1063.5656649289492
2023-02-13,477.26965810382126,-223.81452668517338,1206.8203734554625
2023-02-14,427.10441086599167,-269.64030968285033,1100.7684056114497
2023-02-16,433.46362760111367,-317.19867543117897,1111.1192975663919
2023-02-17,459.655834670266,-259.03031280117875,1198.2180901957934
2023-02-18,521.5560246330605,-198.17534995892754,1225.550443099328
2023-02-19,420.87063696894865,-280.4797816350973,1179.1211224883202
2023-02-20,477.4146453096719,-201.6597242140727,1205.799557820763
2023-02-21,427.24939800962215,-304.3504816704117,1107.1559172481323
2023-02-22,418.91999245995754,-332.3382075053776,1149.9859143609178
2023-02-23,433.6086146206686,-306.8116571745977,1119.5781556168959
2023-02-24,459.8008216276589,-234.83538735336967,1174.1425190695008
